Locutor	Locución	Sarcasmo	Utsumi	hipérbole	Haverkate	Grice	Nakamura	Acto de habla
abuelo	Amaba ese perro, me hico muy feliz siempre. Cuando murió no quise ponerme demasiado triste, porque pensé que siempre me quedaría el recuerdo de su caríta alegre. Yo no recuerdo cómo era su cara, Villy	false		false				
lana	Esta bolsa es de ropa, esa de pañales, en la nevera hay leche materna que excuso de tí	false		false				
archer	No	false		false				
randy	Gente, escuchen todos. Hay algo que deben saber acerca del sarcasmobol, es un juego totalmente seguro, sí super seguro, es tan seguro que cada niño de país debería jugarlo	true	insinceridad	true	distinto	calidad,cantidad		directivo,representativo
archer	Vale	false		false				
lana	Eres un traidor, hijo de puta	false		false				
stan	Ya no es una beba, abuelo, tiene trece	false		false				
conway	El archivo está en el servidor principal de le servicio secreto de la inteligencia argentio	false		false				
archer	Fue a apuntado con la pistola	false		false				
lana	¿Por qué? ¿Porque fui yo quien le arrancó la mano a Conway?	false		false				
cartman	Un momento, cuánto pagó por estas joyas?	false		false				
criminal	Ah	false		false				
rodger goodell	¡Bien hecho!	true	insinceridad	false	contrario	calidad		expresivo
todos	Sí	false		false				
stan	No te preocupes, abuelo, yo me encragaré de esto	false		false				
archer	Es un actor?	false		false				
cheryl	Solo a la gente niñera	false		false				
archer	Ya, me he pasado	false		false				
cyril	Está vacía!	false		false				
todos	Muy buenas	false		false				
niño	Sí, necesitamos más de tu jugo, Butters	false		false				
malory	Con la amenaza implicaré que te dispararé a los genitalios. Y luego me sentaré a beber jerez jamontillado mientras que te desangras	false		false				
las dos	¡Por Dios!	false		false				
rodger goodell	Bien. Ciertamente existen muchas estadísticas interesantes, Dan. Y estamos muy preocupados y esperando a ver si existe una relación directa entre futból y los traumas de cráneo	true	insinceridad	true	distinto	calidad		representativo,expresivo
cartman	Es cierto	false		false				
lana	La casa es segura para bebés?	false		false				
archer	Pam, la niña	false		false				
archer	Hmm… vale, pero luego seguimos mi plan	false		false				
butters	Señor Marsh, escuche, sé que se preocupa por su hijo, pero es un tremendo jugador. Hace buenas cosquillas, se ríe y tiene buen carácter	false		false				
randy	¿Féliz? ¡Contentísimo! Mire lo mucho que mejoró esto	true	insinceridad,emocional	true	contrario	calidad,manera		directivo
abuelo	Seis mil dólares	false		false				
malory	Por favor, no se les pueda contar nada	false		false				
archer	Cómo dices?	false		false				
archer	¿Lo dices en serio?	false		false				
fotógrafo	¿Muchachos, por qué no posan para una maldíta foto que quedará en la memoria del deporte?	true	emocional,alusión	false		manera		directivo
cyril	Aha, porque necesitas ayuda con la niña y no quieres llamar a Lana y vienes a pedirnos ayuda	false		false				
lana	No quiero que bebas nada	false		false				
archer	Cuando nos pidió que vinieramos a rescatarte	false		false				
archer	Ya si estuviera	false		false				
randy	Bien, aquí vamos. Miren como van a patear. Las jugadas especiales son las más importantes	false		false				
randy	Sí Stan, es lo que quiere la gente. No te preocupes, luces genial.	true	insinceridad,emocional	false	contrario	calidad		expresivo
conway	No Kane con K sino	false		false				
slater	Se producen en el cuarto de baño	false		false				
randy	Sí, sí, ya nos cansamos de que nuestros niños se golpeen en el campo y se lastimen. Hagámos el sarcasmobol el deporte oficial en todas las escuelas	true	insinceridad,emocional,alusión	false	distinto	calidad	expectación	representativo,directivo
pam	Espera, qué hago? La azotea es el primer sitio donde buscarán	false		false				
lana	¿Te puñalara por la espalda, no harás ninguna tontería en plan de venganza cuando abra la puerta?	false		false				
archer	Marchando una empanada familiar	true		false	distinto	manera,relevancia		comisivo
animador	El entrenador Martín se acerca para decírselo, pero parece que Jackson cree que está en su auto regresando a casa. Mientras esperamos nos alegra poder recibir el comisionato de NFL, Roger Goodell. Comisionato, mucho aburato para conmociones este año en la NFL. ¿Cómo maneja la liga todo esto?	false		false				
malory	¿La ibas a convertir en un robot?	false		false				
butters	Está aquí, unas veces se rebalsa	false		false				
butters	Y luego cuando intenten agradecernos por los clavos, les decirémos que no se agradezca porque hicimos lo correcto, y luego les sonreirémos	false		false				
criminal	A sí, eso tiene más sentido	false		false				
archer	¡Eso no! AJ si nos pasa algo	false		false				
lana	Archer, no vayas como loco. ¿Qué coños estás haciendo?	false		false				
butters	Oh, de acuerdo, aquí tienen	false		false				
conway	Y por venganza. ¿Te acuerdas cómo me arrancaste la mano?	false		false				
butters	Ah, papá, oye papá. 	false		false				
niño	No tenemos entrenador, Kyle	false		false				
criminal	Es viernes por la noche. Por qué coño hay gente aqui todavía?	false		false				
animador	Y aquí están las maldítas animadoras de Denver	false		false				
stan	Fue regalo de mi abuelo, sí, y le costó mucho dinero	false		false				
stan	Sí, no me gusta que se aprovechen de mí	false		false				
stan	Entonces, fuimos a la India, que es hermosa, creo, nunca había ido. Y aprendimos que quien lo fundió, lo negó, lo rimó y de hecho lo proveyó	false		false				
criminal	A mí o a él?	false		false				
anuncio	El jugo cremoso de Butters está lleno de todo lo que un atleta necesita: compromiso, compasión y camaradería. Y también viene en vase de cuarto litro	false		false				
criminal	No, mis compañeros lo inventaron para que Slater me llevara a usted y que usted me trajera aquí	false		false				
malory	Sí, pues claro	false		false				
conway	Lo iba a hacer, pero mujer, no soy un monstruo. Has sido madre	false		false				
archer	Un aplauso para el pibe	false		false				
stan	Genial, no volveré a usarla	false		false				
abuelo	Pero cuesta cinquenta mil. Lo dijeron en el canal de ventas de joyas	false		false				
conway	El servidor está en una cámara acorazada y reforzada con acceso mediante una tarjeta y escáneo de retina, en el último piso del sede del servicio de inteligencia, que está fuertemente custodiada por todos sus puntos por fuerzas especiales con órdenes de disparar a matar a toda persona no autorizada.	false		false				
archer	No tengo el urdu tan fresco como pensaba	false		false				
lana	Romperé el cristal	false		false				
criminal	Porcuro que no haya sorpresas	false		false				
periodista	Entrenador, victoria de tres a cero sobre los Stillers, se debe sentir un ganador	false		false				
archer	Ah, vale	false		false				
conway	Pues, sácale los ojos, ¿vale?	false		false				
archer	Ya os tendríais que haber ido, pero supongo que ya es tarde, así que...	false		false				
stan	Pero como puede salirse con la suya	false		false				
todos	¡Conway Stern!	false		false				
cyril	Venga, no podemos tener una noche de poker sin violencia?	false		false				
ray	Y Cheryl, qué?	false		false				
criminal	"""La única frase que sabes en urdu es """"no jodas cabrón violador de cabras""""?"""	false		false				
stan	Lo sé, habría deseado que me hubiera regalado el dinero en vez de esta corbata	false		false				
malory	Oh, por Dios bendíto	false		false				
archer	Iba a decir, era dos de dos chicos	false		false				
ray	Tengo tres en la saca, necesito cuatrao para el finde, me voy a Gaylandia	false		false				
archer	Sabías que mentía	false		false				
slater	Mejor me voy	false		false				
randy	Muchachos, escuchen, olvídense del día libre. Tenemos que practicar mañana	false		false				
kyle	Ni siquiera entendemos cómo se juega este juego	false		false				
lana	¿Y eso?	false		false				
cartman	Sucios hijos de puta traicioneros. Quieren dejarme fuera?  Me robaron la fórmula y luego intentaron joderme. Butters!	false		false				
kyle	Y qué significa	false		false				
archer	¿De dónde te sacas las veinte copas?	false		false				
cyril	Qué?	false		false				
archer	Verdad	false		false				
archer	Todo tiene su lógica	false		false				
slater	Vale te llamo cuando resuelven lo del topo para que lo lleves al nuevo piso franco	false		false				
cartman	No, yo no tengo ésa que te llevas dentro, Butters.	false		false				
conway	Bueno, saltar, llevo paracaigas	false		false				
guardia	Coronel	false		false				
archer	Ahora soy un verbo, Lana. Acepta la idea. Y de paso, cúbreme por favor	false		false				
dependiente de oro	Oro de quatorce quilates, diamantes y turquesa. Te doy quince dólares.	false		false				
randy	Esto es esprema	false		false				
lana	Archer, hablo en serio	false		false				
randy	Claro, le hizo algo a mi cerebro y ahora no puedo parar de ser sarcástico	true	insinceridad,alusión	false	contrario	calidad		representativo
kyle	Te necesitamos, Butters. Eres el indicado	false		false				
malory	Lo dije	false		false				
archer	No sé que le ocurrió, en fin, venimos a buscar unas cosas de la niña. Así que vamos a cogerlas. Maní?	false		false				
butters	Estaba teniendo un sueño feliz con una chica y…	false		false				
lana	Oh, sí Archer, tengo una hermana	false		false				
butters	No sé, nunca me había puesto en pensarlo	false		false				
randy	Lucen bien muchachos. ¡A patear culos!	true	insinceridad,emocional	false	contrario	calidad	expectación	expresivo,directivo
lana	Bueno, Conway, ganas este salto	false		false				
abuelo	Oy, es maravilloso, eso me pondría muy contento. Quiénes están?	false		false				
abuelo	Oh, parece que te divertiste mucho	false		false				
los dos	¡Dícelo a él!	false		false				
krieger	Vale, os voy a explicar todo eso	false		false				
randy	No entiendo cómo alguien puede jugar a esto con sinceridad	false		false				
padre de butters	Lo hablarémos cuando crezcas	false		false				
archer	No, era por saber si tenía que llevar un saco con el símbolo del dólar	true	alusión,insinceridad	true	distinto	calidad		representativo
archer	Y hablando de… cago la leche	false		false				
archer	Qué? Creía que significaba lo siento. Se ve que por eso aquella noche en el burdel de carrachi pasó de repente de malísima a mucho peor	true	insinceridad	false	contrario	calidad	expectación	representativo
lana	Quería saber si podía fiarme que te quidaras de AJ tú solo	false		false				
slater	Para que te controles	false		false				
archer	Joder, en fin, dudo que el robot tenga Bourbon y no me aptece tres en uno con cola, al menos que no haya, literalmente, nada más que beber	false		false				
conway	Sí claro, y más después de las malpinas.	true	alusión,insinceridad	false	contrario	calidad	predicción	representativo
stan	Cielos, mi abuelo pagó seis mil dólares para algo que casi no tiene valor algúno. Cómo, cómo puede ocurrir algo semejante?	false		false				
lana	¿Podríamos dejarlo ya, por favor?	false		false				
pam	Eso pensaba si se lo adreza a quienquiera que lo haya preguntado	false		false				
ray	Espera, qué?	false		false				
randy	Qué buen golpe. Recuerdenlo en la práctica mañana	false		false				
conway	Y pierde unos kilítos	false		false				
archer	Sí, tengo literalment miles de armas	false		false				
pam	Voy a darle yo violencia homófoba	false		false				
archer	Te iba a ofrecer una copa, pero solo tengo tequila y licor de café	false		false				
todos	Sí	false		false				
lana	Joder, Archer	false		false				
cartman	Oye, Butters. ¿Tienes un minuto?	false		false				
animadoras de denver	¡Vamos, Broncos, vamos!	true		false	distinto			directivo
archer	Pásalo bien y saluda a tu vida animal	false		false				
butters	Como yo	false		false				
archer	Literalmente, por la espalda, puñalada	false		false				
médico	No se puede, lo siento, no hay investigaciones que determinen los efectos del sarcasmo al cerebro	false		false				
cyril	Joder y qué hacemos?	false		false				
madre de stan	¿Randy, no vas a acompañar tu familia en la cena?	false		false				
stan	No, es un regalo que me dio mi abuelo, pero es tan costoso que me siento mal aceptarlo. Prefiero efectivo	false		false				
cartman	Mis bolas, mis bolas, chúpalas	false		false				
lana	Ya y	false		false				
anuncio	¿Juegas duro? ¿Necesitas una bebida deportiva que te de más energía? Los deportes de hoy son para gente amable, así que mejora tu desempeño con jugo cremoso de Butters. Estarás lleno de buenos sentimientos y serás más gentil que un rayo de sol	false		false				
dependiente de oro	Sí, pero los diamantes no me sirven para nada. Tendría que enviarlo a un fundidor que se ocupe de fundir el oro y quizás yo gane unos diez dólares	false		false				
krieger	Esta es la vieja	false		false				
criminal	Todavía tengo pistola	false		false				
archer	No estamos en el mismo bando?	false		false				
lana	Sí, tú sí que has que has perdidio peso Conway Stern o cómo te llames en realidad	true	insinceridad,emocional	false	contrario	calidad		representativo
pam	Venga, pues tan cabrones violadores de cabras a pelo y sin comodines	false		false				
lana	Porque tengo que herir tus sentimientos, si me pasa algo, y solo a mí Archer, AJ viviría con mis padres	false		false				
archer	No, Lana. Mirad, como tenga que parar, nos van a matar a todos, así que	false		false				
cheryl	¿Se refiere a mí?	false		false				
dependiente de oro	Nueve dólares	false		false				
archer	Lana, Lana, ¿es que tienes envidia de que soy un vergón?	true		false		calidad,manera		expresivo
ray	La madre que te parió	false		false				
sharon	Vamos, ábrelo, Stan	false		false				
criminal	Vamos es que no va armado, es lo que quiero decir	false		false				
archer	Bueno, de allí vamos, Conway, procura parecerse presidencia. Y Lana que parezcas eso, una señora, lo has gordado	false		false				
cheryl	Pásalo bien y ojalá que sufras de violencia homófoba	false		false				
ray	¡Jolín!	false		false				
criminal	Qué?	false		false				
cartman	"""Así es, los sujetes con carteles """"compramos oro"""" compran sus joyas de porquería. Sumamos con las canales de ventas y los dividimos por los viejos de mente, tenemos oro"""	false		false				
archer	Vale, harémos lo siguiente	false		false				
cheryl	Nada hasta que consultemos la cuija	false		false				
stan	¿Qué?	false		false				
stan	Alguien está en la cabeza de todo esto y alguien tiene que pagar. Solo estoy pidiendo una maldita retribución para mi maldito abuelo	false		false				
lana	Me busco a una canguro	false		false				
guardia	Su identificación, coronel, por favor	false		false				
slater	tenía	false		false				
slater	Perdón, se llama operación QUETE	false		false				
butters	¿Eh?	false		false				
randy	Sí, me gustaría hablar sobre esta nueva regla que en el futbol prohibe las patadas	false		false				
archer	Uno de los dos debería	false		false				
slater	Archer	false		false				
butters	Claro, Eric	false		false				
médico	Bien, tengo un idea aún mejor. Tomemos los fondos de investigación de cáncer y enfermedades genéticas, y hagamos comerciales que digan: 'hola, espectadores, quizás el sarcasmo no es algo muy bueno para tu cerebro'.	true	insinceridad,alusión	true	distinto	calidad	norma	expresivo,directivo
todos	Cómo dices?	false		false				
archer	No concozco a tal Lana, pero	false		false				
cartman	Ese niño nos quiere provocar. Dice cosas feas para que nos enojemos	false		false				
cartman	Eso es porque es muy gruño y negativo para creerlo. Necesita una bebida deportiva que eleve sus niveles de humanidad y bondad	false		false				
criminal	A qué majo!	false		false				
lana	Oh, no porque bastante tenías con tirarte a acero, luego a cristal o	false		false				
animador	Comprenlo y tomen el jugo	false		false				
lana	O si por nos lo vuelve a jugar	false		false				
lana	No está mal te voy a poner un siete	false		false				
criminal	Pues lo has portado imbécil. Cuánto de ha dado Lana por dispararme?	false		false				
archer	Racista serás tú en todo caso si mexicano o negro te parecen insultos. De hecho, mi hija es multiracial	false		false				
kyle	No, es quien lo negó, lo proveyó	false		false				
archer	Quería toda su atención	false		false				
sujeto de comprar oro	"""Por qué no les gritan a los encargados de fundir el oro? El refrán hindu dice: """"quien lo fundió, lo generó"""""""	false		false				
criminal	Por qué me pegas?	false		false				
criminal	Ah, ya, así que tiene armas aqui?	false		false				
stan	Qué? Eso le costó a mi abuelo seis mil dólares. Los diamantes son auténticos	false		false				
archer	Sí, Lana, ahora si tú me disculpas necesito atención médica con bastante urgencia, por tu culpa	false		false				
archer	Cállate, vosotros sacad a AJ y dejadme a mí el resto	false		false				
dependiente de oro	Es la mejor, es muy listo. Se aprovecha de mis precios bajos	false		false				
slater	Por qué...? Da igual	false		false				
malory	Sterling, el señor	false		false				
madre de stan	Stanley, solo busca tus cosas y nos vamos a casa	false		false				
stan	Abuelo?	false		false				
randy	¿Cómo va todo? ¡Increíble! Nadie sale lastimado, los niños están aprendiendo lecciones valiosas sobre abrazos y seguridad, porque de eso se trata el mundo	true	insinceridad,emocional,alusión	true	distinto	calidad	expectación	representativo
stan	Papá, ¿es necesario usar sosténes?	false		false				
lana	¿Y no es porque te gusta llevar ese bigotón cutre?	false		false				
archer	Qué tontería de conversación	false		false				
pam	Y eso es algo muy sagrado para nosotras así que ¿le ayudarémos a buscar a la pequeña J? En unos cin… quince o cuarenta minutos	false		false				
lana	De quién es esa pistola?	false		false				
sujeto de comprar oro 3	Qué es lo que dices, Gustof? Dios mío. Quieres decir?	false		false				
archer	¿Cómo los llamas?	false		false				
slater	Eso ya pensaba	false		false				
malory	¿Y por qué, por qué la tienes tú?	false		false				
kyle	Kenny, di a Cartman que se calle	false		false				
archer	¿Cómo es que sigues teniendo dos manos? ¡Hijo de puta!	false		false				
archer	Muy heróico, lo sé	false		false				
cyril	Y yo no lo he visto ni hoy	false		false				
cartman	¿La guardas toda?	false		false				
lana	Lo dices en serio?	false		false				
kyle	No te jodemos a ti. Ellos están jodiendo al abuelo de Stan	false		false				
archer	Uno, eran botellitas y dos me refiero a AJ. ¿Quién la va a cuidar si nos pasa algo a los dos?	false		false				
malory	Que las masticaras primero y se las escupieras en la boca	false		false				
lana	Archer, cierra el pico. Vas a ponerte bien	false		false				
archer	¡Joder!	false		false				
lana	Me busco a una canguro	false		false				
lana	Archer	false		false				
archer	Lana, tranquila, no beberé en tu ausencia y tomo esto muy en serio	false		false				
archer	Pues claro, es un cíborg, seguro que la clave era...	false		false				
lana	Eh, ya está bien	false		false				
slater	No	false		false				
archer	Sí llevo pipa, hombre no	false		false				
cartman	Durante siglos, los alquimistas han intentado crear la fórmula para crear oro. Quien pudiera crearla se volvería rico. Y ahora esta equación química está frente a sus ojos	false		false				
conway	En el skymal	true	insinceridad	false	distinto	calidad		representativo
archer	Sí es lo más lógico, claro, aunque seguro que son muy viejos	false		false				
lana	¿Hablando de qué?	false		false				
malory	Está aquí, cabeza hueca	false		false				
slater	Porque resulta que conocéis a la gente en cuestión. ¿Eh, le importa?	false		false				
cartman	Son nuevos tiempos, una nueva era de ciencia que solo pocos comprendemos	false		false				
archer	No	false		false				
archer	Te han puesto una mamada, ¿a qué sí? Y madre, Slater y CIA son idiotas por confiar en él. Pero me refería a volar en el mismo avión, Lana. Y si se llega a estrella	false		false				
animador	Estó tendrá que resolverlo el grupo fuera del campo	false		false				
dependiente de oro	Muy buen negocio. Es muy listo	false		false				
slater	Y por qué tienes el botiquín en la barra	false		false				
krieger	Pero	false		false				
pam	No deberías qué?	false		false				
archer	Ya, a su edad no sé ni para qué se molesta	false		false				
archer	Verás cómo... Joder tengo que pasarlo con algo. Has visto AJ? Ha sido una leccion sobre algo llamado seguridad de uno mismo. Y al contrario de que te hayan dicho, nunca es de más. Y el burbón. Dónde está el burbón?	false		false				
archer	Cállate, no te fastidies, te iba a llamar	false		false				
archer	Ay, madre, muy bueno, por un momento me lo he tragado	false		false				
lana	Mira	false		false				
pam	Eres un monstruo	false		false				
lana	¿En serio?	false		false				
animador	El marcador está cero a cero, mientras los Stines avanzan a los Broncos	false		false				
archer	Detrás de la barra, deja de gritar	false		false				
randy	Vamos, dense palmadas en las espaldas	true		false	distinto			directivo
stan	No, en esto no. ¿Qué hay del interior cremoso que nos hablaste? Esa que creemos que llevas dentro y que hace que seamos mejor jugadores del mundo	false		false				
stan	No pueden decirme qué hacer	false		false				
butters	Oh, lo siento, perdón	false		false				
criminal	Ya vale, pero las lleva encima? Lleva pipa?	false		false				
archer	Vaya, igual de ridículo	false		false				
stan	No le gustan las joyas, abuelo	false		false				
profesor	¿Sostenes?	false		false				
conway	Sí, sí, la mamá, no él jodía	false		false				
cartman	Soy idiota por saber matemática?	false		false				
archer	Aunque disfrutar no sea literalmente	false		false				
archer	Un momento, dame eso, a mi señal me pondré a tío. Vosotros idiotas salid corriendo y buscad a Pam y AJ y ponedlas a salvo antes de que lleguen más jilibollas	false		false				
conway	Es un archivo informático con la identidad verdadera de todos los agentes de CIA que operan en el centro de Sudamérica. Argentina lo usa para presionar y amenazar a contárselo a los rusos	false		false				
principal	¿Cómo va todo, entrenador?	false		false				
lana	¿Slater?	false		false				
stan	Así, claro, como él exagera cada enfermedad que tiene	false		false				
